driver,lap,position,time,tyres,team,grand_prix,round
ALO,1,7,103.608,start,Aston Martin,Bahrain,1
ALO,2,7,99.792,soft,Aston Martin,Bahrain,1
ALO,3,7,99.1,soft,Aston Martin,Bahrain,1
ALO,4,7,99.548,soft,Aston Martin,Bahrain,1
ALO,5,7,99.662,soft,Aston Martin,Bahrain,1
ALO,6,7,99.674,soft,Aston Martin,Bahrain,1
ALO,7,7,99.729,soft,Aston Martin,Bahrain,1
ALO,8,7,99.959,soft,Aston Martin,Bahrain,1
ALO,9,7,100.275,soft,Aston Martin,Bahrain,1
ALO,10,7,100.203,soft,Aston Martin,Bahrain,1
ALO,11,7,101.147,soft,Aston Martin,Bahrain,1
ALO,12,6,100.934,soft,Aston Martin,Bahrain,1
ALO,13,5,100.341,soft,Aston Martin,Bahrain,1
ALO,14,4,102.212,inlap,Aston Martin,Bahrain,1
ALO,15,8,119.692,outlap,Aston Martin,Bahrain,1
ALO,16,7,97.542,hard,Aston Martin,Bahrain,1
ALO,17,6,98.139,hard,Aston Martin,Bahrain,1
ALO,18,6,98.124,hard,Aston Martin,Bahrain,1
ALO,19,6,98.361,hard,Aston Martin,Bahrain,1
ALO,20,6,98.318,hard,Aston Martin,Bahrain,1
ALO,21,6,98.407,hard,Aston Martin,Bahrain,1
ALO,22,6,98.2,hard,Aston Martin,Bahrain,1
ALO,23,6,97.853,hard,Aston Martin,Bahrain,1
ALO,24,6,97.878,hard,Aston Martin,Bahrain,1
ALO,25,6,98.139,hard,Aston Martin,Bahrain,1
ALO,26,6,98.127,hard,Aston Martin,Bahrain,1
ALO,27,6,98.612,hard,Aston Martin,Bahrain,1
ALO,28,6,98.199,hard,Aston Martin,Bahrain,1
ALO,29,6,98.585,hard,Aston Martin,Bahrain,1
ALO,30,5,98.282,hard,Aston Martin,Bahrain,1
ALO,31,5,98.009,hard,Aston Martin,Bahrain,1
ALO,32,4,97.871,hard,Aston Martin,Bahrain,1
ALO,33,4,97.769,hard,Aston Martin,Bahrain,1
ALO,34,3,100.353,inlap,Aston Martin,Bahrain,1
ALO,35,6,117.389,outlap,Aston Martin,Bahrain,1
ALO,36,6,96.156,hard,Aston Martin,Bahrain,1
ALO,37,6,97.431,hard,Aston Martin,Bahrain,1
ALO,38,5,97.002,hard,Aston Martin,Bahrain,1
ALO,39,5,97.243,hard,Aston Martin,Bahrain,1
ALO,40,4,97.208,hard,Aston Martin,Bahrain,1
ALO,41,4,126.713,vsc,Aston Martin,Bahrain,1
ALO,42,4,96.334,hard,Aston Martin,Bahrain,1
ALO,43,4,96.911,hard,Aston Martin,Bahrain,1
ALO,44,4,97.022,hard,Aston Martin,Bahrain,1
ALO,45,3,97.931,hard,Aston Martin,Bahrain,1
ALO,46,3,97.087,hard,Aston Martin,Bahrain,1
ALO,47,3,97.326,hard,Aston Martin,Bahrain,1
ALO,48,3,96.783,hard,Aston Martin,Bahrain,1
ALO,49,3,96.726,hard,Aston Martin,Bahrain,1
ALO,50,3,96.331,hard,Aston Martin,Bahrain,1
ALO,51,3,96.96,hard,Aston Martin,Bahrain,1
ALO,52,3,97.01,hard,Aston Martin,Bahrain,1
ALO,53,3,97.01,hard,Aston Martin,Bahrain,1
ALO,54,3,97.599,hard,Aston Martin,Bahrain,1
ALO,55,3,97.662,hard,Aston Martin,Bahrain,1
ALO,56,3,97.473,hard,Aston Martin,Bahrain,1
ALO,57,3,97.422,hard,Aston Martin,Bahrain,1
HAM,1,5,102.288,start,Mercedes,Bahrain,1
HAM,2,5,99.166,soft,Mercedes,Bahrain,1
HAM,3,5,99.22,soft,Mercedes,Bahrain,1
HAM,4,5,99.198,soft,Mercedes,Bahrain,1
HAM,5,5,99.335,soft,Mercedes,Bahrain,1
HAM,6,5,99.756,soft,Mercedes,Bahrain,1
HAM,7,5,99.757,soft,Mercedes,Bahrain,1
HAM,8,5,100.267,soft,Mercedes,Bahrain,1
HAM,9,5,100.323,soft,Mercedes,Bahrain,1
HAM,10,5,100.289,soft,Mercedes,Bahrain,1
HAM,11,5,100.752,soft,Mercedes,Bahrain,1
HAM,12,7,103.336,inlap,Mercedes,Bahrain,1
HAM,13,8,119.179,outlap,Mercedes,Bahrain,1
HAM,14,7,98.308,hard,Mercedes,Bahrain,1
HAM,15,6,98.527,hard,Mercedes,Bahrain,1
HAM,16,5,98.617,hard,Mercedes,Bahrain,1
HAM,17,5,98.704,hard,Mercedes,Bahrain,1
HAM,18,5,98.69,hard,Mercedes,Bahrain,1
HAM,19,5,98.684,hard,Mercedes,Bahrain,1
HAM,20,5,98.478,hard,Mercedes,Bahrain,1
