round,grand_prix,constructor,driver,lap,time
1,Bahrain,Red Bull,PER,1,101.063
1,Bahrain,Red Bull,PER,2,98.862
1,Bahrain,Red Bull,PER,3,98.83
1,Bahrain,Red Bull,PER,4,98.758
1,Bahrain,Red Bull,PER,5,98.404
1,Bahrain,Red Bull,PER,6,98.718
1,Bahrain,Red Bull,PER,7,98.804
1,Bahrain,Red Bull,PER,8,99.172
1,Bahrain,Red Bull,PER,9,98.914
1,Bahrain,Red Bull,PER,10,99.085
1,Bahrain,Red Bull,PER,11,99.249
1,Bahrain,Red Bull,PER,12,99.197
1,Bahrain,Red Bull,PER,13,99.336
1,Bahrain,Red Bull,PER,14,98.739
1,Bahrain,Red Bull,PER,15,98.608
1,Bahrain,Red Bull,PER,16,98.77
1,Bahrain,Red Bull,PER,17,101.36
1,Bahrain,Red Bull,PER,18,118.797
1,Bahrain,Red Bull,PER,19,97.659
1,Bahrain,Red Bull,PER,20,97.448
1,Bahrain,Red Bull,PER,21,97.24
1,Bahrain,Red Bull,PER,22,97.169
1,Bahrain,Red Bull,PER,23,97.304
1,Bahrain,Red Bull,PER,24,97.352
1,Bahrain,Red Bull,PER,25,98.418
1,Bahrain,Red Bull,PER,26,97.454
1,Bahrain,Red Bull,PER,27,97.387
1,Bahrain,Red Bull,PER,28,97.211
1,Bahrain,Red Bull,PER,29,97.733
1,Bahrain,Red Bull,PER,30,97.4
1,Bahrain,Red Bull,PER,31,97.919
1,Bahrain,Red Bull,PER,32,97.722
1,Bahrain,Red Bull,PER,33,97.869
1,Bahrain,Red Bull,PER,34,100.686
1,Bahrain,Red Bull,PER,35,118.785
1,Bahrain,Red Bull,PER,36,96.82
1,Bahrain,Red Bull,PER,37,96.344
1,Bahrain,Red Bull,PER,38,96.431
1,Bahrain,Red Bull,PER,39,96.429
1,Bahrain,Red Bull,PER,40,97.114
1,Bahrain,Red Bull,PER,41,123.522
1,Bahrain,Red Bull,PER,42,99.657
1,Bahrain,Red Bull,PER,43,96.554
1,Bahrain,Red Bull,PER,44,96.978
1,Bahrain,Red Bull,PER,45,96.928
1,Bahrain,Red Bull,PER,46,97.257
1,Bahrain,Red Bull,PER,47,96.661
1,Bahrain,Red Bull,PER,48,96.859
1,Bahrain,Red Bull,PER,49,97.049
1,Bahrain,Red Bull,PER,50,97.731
1,Bahrain,Red Bull,PER,51,97.049
1,Bahrain,Red Bull,PER,52,97.062
1,Bahrain,Red Bull,PER,53,97.345
1,Bahrain,Red Bull,PER,54,97.296
1,Bahrain,Red Bull,PER,55,97.092
1,Bahrain,Red Bull,PER,56,96.565
1,Bahrain,Red Bull,PER,57,96.558
1,Bahrain,Mercedes,HAM,1,102.288
1,Bahrain,Mercedes,HAM,2,99.166
1,Bahrain,Mercedes,HAM,3,99.22
1,Bahrain,Mercedes,HAM,4,99.198
1,Bahrain,Mercedes,HAM,5,99.335
1,Bahrain,Mercedes,HAM,6,99.756
1,Bahrain,Mercedes,HAM,7,99.757
1,Bahrain,Mercedes,HAM,8,100.267
1,Bahrain,Mercedes,HAM,9,100.323
1,Bahrain,Mercedes,HAM,10,100.289
1,Bahrain,Mercedes,HAM,11,100.752
1,Bahrain,Mercedes,HAM,12,103.336
1,Bahrain,Mercedes,HAM,13,119.179
1,Bahrain,Mercedes,HAM,14,98.308
1,Bahrain,Mercedes,HAM,15,98.527
1,Bahrain,Mercedes,HAM,16,98.617
1,Bahrain,Mercedes,HAM,17,98.704
1,Bahrain,Mercedes,HAM,18,98.69
1,Bahrain,Mercedes,HAM,19,98.684
1,Bahrain,Mercedes,HAM,20,98.478
1,Bahrain,Mercedes,HAM,21,98.581
1,Bahrain,Mercedes,HAM,22,98.46
1,Bahrain,Mercedes,HAM,23,98.384
1,Bahrain,Mercedes,HAM,24,98.367
1,Bahrain,Mercedes,HAM,25,98.29
1,Bahrain,Mercedes,HAM,26,98.339
1,Bahrain,Mercedes,HAM,27,98.369
1,Bahrain,Mercedes,HAM,28,98.265
1,Bahrain,Mercedes,HAM,29,98.38
1,Bahrain,Mercedes,HAM,30,101.175
1,Bahrain,Mercedes,HAM,31,119.503
1,Bahrain,Mercedes,HAM,32,97.563
1,Bahrain,Mercedes,HAM,33,97.549
1,Bahrain,Mercedes,HAM,34,98.135
1,Bahrain,Mercedes,HAM,35,96.831
1,Bahrain,Mercedes,HAM,36,96.546
1,Bahrain,Mercedes,HAM,37,97.388
1,Bahrain,Mercedes,HAM,38,98.304
1,Bahrain,Mercedes,HAM,39,97.478
1,Bahrain,Mercedes,HAM,40,97.494
1,Bahrain,Mercedes,HAM,41,126.491
1,Bahrain,Mercedes,HAM,42,97.061
1,Bahrain,Mercedes,HAM,43,97.111
1,Bahrain,Mercedes,HAM,44,97.048
1,Bahrain,Mercedes,HAM,45,97.661
1,Bahrain,Mercedes,HAM,46,97.779
1,Bahrain,Mercedes,HAM,47,98.517
1,Bahrain,Mercedes,HAM,48,97.844
1,Bahrain,Mercedes,HAM,49,97.954
1,Bahrain,Mercedes,HAM,50,97.77
1,Bahrain,Mercedes,HAM,51,98.014
1,Bahrain,Mercedes,HAM,52,97.803
1,Bahrain,Mercedes,HAM,53,97.988
1,Bahrain,Mercedes,HAM,54,98.076
1,Bahrain,Mercedes,HAM,55,97.955
1,Bahrain,Mercedes,HAM,56,98.111
1,Bahrain,Mercedes,HAM,57,98.255
1,Bahrain,Red Bull,MAX,1,99.019
1,Bahrain,Red Bull,MAX,2,97.974
1,Bahrain,Red Bull,MAX,3,98.006
1,Bahrain,Red Bull,MAX,4,97.976
1,Bahrain,Red Bull,MAX,5,98.035
1,Bahrain,Red Bull,MAX,6,97.986
1,Bahrain,Red Bull,MAX,7,98.021
1,Bahrain,Red Bull,MAX,8,98.154
1,Bahrain,Red Bull,MAX,9,98.278
1,Bahrain,Red Bull,MAX,10,98.369
1,Bahrain,Red Bull,MAX,11,98.483
1,Bahrain,Red Bull,MAX,12,98.591
1,Bahrain,Red Bull,MAX,13,98.482
1,Bahrain,Red Bull,MAX,14,101.295
1,Bahrain,Red Bull,MAX,15,118.378
1,Bahrain,Red Bull,MAX,16,97.801
1,Bahrain,Red Bull,MAX,17,97.648
1,Bahrain,Red Bull,MAX,18,97.614
1,Bahrain,Red Bull,MAX,19,97.712
1,Bahrain,Red Bull,MAX,20,97.788
1,Bahrain,Red Bull,MAX,21,97.582
1,Bahrain,Red Bull,MAX,22,97.651
1,Bahrain,Red Bull,MAX,23,97.552
1,Bahrain,Red Bull,MAX,24,97.387
1,Bahrain,Red Bull,MAX,25,97.372
1,Bahrain,Red Bull,MAX,26,97.682
1,Bahrain,Red Bull,MAX,27,97.379
1,Bahrain,Red Bull,MAX,28,97.651
1,Bahrain,Red Bull,MAX,29,97.571
1,Bahrain,Red Bull,MAX,30,97.549
1,Bahrain,Red Bull,MAX,31,97.431
1,Bahrain,Red Bull,MAX,32,97.691
1,Bahrain,Red Bull,MAX,33,97.686
1,Bahrain,Red Bull,MAX,34,97.839
1,Bahrain,Red Bull,MAX,35,97.85
1,Bahrain,Red Bull,MAX,36,100.964
1,Bahrain,Red Bull,MAX,37,118.49
1,Bahrain,Red Bull,MAX,38,96.297
1,Bahrain,Red Bull,MAX,39,96.446
1,Bahrain,Red Bull,MAX,40,96.942
1,Bahrain,Red Bull,MAX,41,120.495
1,Bahrain,Red Bull,MAX,42,104.824
1,Bahrain,Red Bull,MAX,43,96.89
1,Bahrain,Red Bull,MAX,44,96.236
1,Bahrain,Red Bull,MAX,45,97.015
1,Bahrain,Red Bull,MAX,46,96.701
1,Bahrain,Red Bull,MAX,47,97.009
1,Bahrain,Red Bull,MAX,48,96.918
1,Bahrain,Red Bull,MAX,49,96.962
1,Bahrain,Red Bull,MAX,50,97.25
1,Bahrain,Red Bull,MAX,51,97.427
1,Bahrain,Red Bull,MAX,52,96.919
1,Bahrain,Red Bull,MAX,53,96.89
1,Bahrain,Red Bull,MAX,54,96.678
1,Bahrain,Red Bull,MAX,55,96.322
1,Bahrain,Red Bull,MAX,56,97.205
1,Bahrain,Red Bull,MAX,57,96.373
1,Bahrain,Ferrari,LEC,1,100.23
1,Bahrain,Ferrari,LEC,2,98.75
1,Bahrain,Ferrari,LEC,3,98.658
1,Bahrain,Ferrari,LEC,4,98.825
1,Bahrain,Ferrari,LEC,5,98.664
1,Bahrain,Ferrari,LEC,6,98.572
1,Bahrain,Ferrari,LEC,7,98.691
1,Bahrain,Ferrari,LEC,8,98.614
1,Bahrain,Ferrari,LEC,9,98.828
1,Bahrain,Ferrari,LEC,10,99.073
1,Bahrain,Ferrari,LEC,11,99.212
1,Bahrain,Ferrari,LEC,12,99.489
1,Bahrain,Ferrari,LEC,13,102.068
1,Bahrain,Ferrari,LEC,14,118.77
1,Bahrain,Ferrari,LEC,15,98.477
1,Bahrain,Ferrari,LEC,16,97.953
1,Bahrain,Ferrari,LEC,17,98.031
1,Bahrain,Ferrari,LEC,18,97.798
1,Bahrain,Ferrari,LEC,19,97.858
1,Bahrain,Ferrari,LEC,20,97.631
1,Bahrain,Ferrari,LEC,21,97.753
1,Bahrain,Ferrari,LEC,22,98.162
1,Bahrain,Ferrari,LEC,23,98.054
1,Bahrain,Ferrari,LEC,24,97.972
1,Bahrain,Ferrari,LEC,25,98.541
